2025-05-01 16:20,Deciphering of intra-tumoural heterogeneity and the interplay between metastasis-associated meta-program and myofibroblasts in gastric cancer.,"Wu X, Jin Z, Li B, Lu Y, Hou J, Yao L, Yu Z, Sang Q, Yu B, Li J, Li C, Yan C, Zhu Z, Tang K, Liu B, Su L.",MED,2025-05-01,,"Gastric cancer (GC) exhibits high heterogeneity that relies on the oncogenic properties of cancer cells and multicellular interactions in the tumour microenvironment. However, the heterogeneity of GC and their molecular characteristics are still largely unexplored.We employed single-cell and spatial transcriptomics to comprehensively map the intra-tumoural heterogeneity within GC. Additionally, in vitro experiments, clinical sample analyses, and patient-derived organoid models (PDOs) were conducted to validate the key interaction patterns between tumor cells and stromal cells.Seven robust meta-programs (MP1-MP7) in GC were defined with distinct biological significance and spatial distributions. MP3 and MP4 were intimately associated with distinct CD8 T cells skewed toward a cytotoxic or exhaustion state, while MP7, characterised by the highest degree of malignancy, harboured an immune lockdown microenvironment around it and spatially associated with myofibroblasts (myCAFs). Notably, we clarified the interplay between the MP7 and myCAFs, where MP7 induces the chemotactic migration of fibroblasts and promoting their transformation into myCAFs via GDF15/TGFBR2, and in turn, myCAFs-derived RSPO3 up-regulates EGR1 to promote the transformation to MP7 in GC cells and human PDOs. Ultimately, the accumulation of myCAFs around MP7 led to fewer infiltration of CD8 T cells, resulting an immune-deprived microenvironment and the diminished efficacy of immunotherapy. Additionally, based on the gene expression signatures of MP7 GC cells, we predicted specific drugs and verified more potent inhibitory effects of Taselisib and Lapatinib for MP7 GC cells than conventional drugs at the same concentration.Taken together, these results deepened the understanding of GC heterogeneity and paved the way for novel therapeutic strategies by targeting MP7 GC cells and their interaction loop with myCAFs in GC treatment.Seven robust meta-programs (MP1-MP7) were identified in gastric cancer. MP7 was strongly correlated with cancer metastasis and poor survival of gastric cancer patients. MP7 promoted fibroblast transformation into myCAFs via GDF15/TGFBR2, creating an immune lockdown microenvironment. MyCAFs induced MP7 transformation via the RSPO3/EGR1 pathway, promoting gastric cancer cell migration. Taselisib and Lapatinib were potent inhibitors of MP7 GC cells.",https://pubmed.ncbi.nlm.nih.gov/40292733/,"bioinformatics, genomics, pan-genomics, pan-transcriptomics"
2025-05-01 16:20,Integrated bioinformatics analysis of biomarkers and pathways to explore the mechanisms and molecular targets related to allergic rhinitis and pyroptosis.,"Mingai You, Fangrui Liu, Youshijie Cai, Guodong Yu",PubMed,2025-04-30,,"Allergic rhinitis (AR) is a condition with a rising global prevalence, though its specific pathogenic mechanisms remain elusive. Several studies have indicated that pyroptosis is one of the key mechanisms in the pathogenesis of AR. However, no research has investigated the molecular targets of pyroptosis in the context of AR. Our study endeavored to identify common biomarkers and mechanisms that could offer insights into the prevention of AR progression and novel therapeutic targets. Data from the Gene Expression Omnibus (GEO) database, including GSE51392, GSE43523, and GSE44037, were downloaded and analyzed through weighted gene co-expression network analysis (WGCNA), Least Absolute Shrinkage and Selection Operator (LASSO), and random forest (RF) analysis to identify key intersecting genes associated with both AR and pyroptosis. The gene GZMA was identified as a significant candidate and was validated in another sample dataset (GSE101720). Western blot (WB) analysis confirmed the expression of GZMA in an AR mouse model. Gene Ontology (GO) analysis and Kyoto Encyclopedia of Genes and Genomes (KEGG) pathway enrichment analysis were conducted to explore the functional roles of the shared genes. An immune infiltration matrix was established using CIBERSORT analysis to estimate the degree of immune cell infiltration in AR. Single-sample Gene Set Enrichment Analysis (ssGSEA) was performed to analyze the biological functions of hub genes. In the immune infiltration matrix of AR, a reduced expression of Tregs was observed in the AR group. WB analysis further indicated elevated expression of GZMA in the AR group. As a gene related to both AR and pyroptosis, GZMA expression was positively correlated with the gene expression levels of CD8 + T cells. The reduction in Tregs and the increase in CD8 + T cells in AR, along with enhanced pyroptosis, contribute to the development of allergic inflammation. Therefore, it was hypothesized that GZMA could serve as a novel target for the prevention and treatment of AR.",https://pubmed.ncbi.nlm.nih.gov/40307356/,"machine learning, bioinformatics, genomics"
2025-05-01 16:20,Massive experimental quantification allows interpretable deep learning of protein aggregation.,"Mike Thompson, Mariano Martín, Trinidad Sanmartín Olmo, Chandana Rajesh, Peter K Koo, Benedetta Bolognesi, Ben Lehner",PubMed,2025-04-30,,"Protein aggregation is a pathological hallmark of more than 50 human diseases and a major problem for biotechnology. Methods have been proposed to predict aggregation from sequence, but these have been trained and evaluated on small and biased experimental datasets. Here we directly address this data shortage by experimentally quantifying the aggregation of >100,000 protein sequences. This unprecedented dataset reveals the limited performance of existing computational methods and allows us to train CANYA, a convolution-attention hybrid neural network that accurately predicts aggregation from sequence. We adapt genomic neural network interpretability analyses to reveal CANYA's decision-making process and learned grammar. Our results illustrate the power of massive experimental analysis of random sequence-spaces and provide an interpretable and robust neural network model to predict aggregation.",https://pubmed.ncbi.nlm.nih.gov/40305601/,"machine learning, bioinformatics, genomics"
2025-05-01 16:20,Multi-omic serum analysis reveals ferroptosis pathways and diagnostic molecular signatures associated with Moyamoya diseases.,"Qingbao Guo, Manli Xie, Xiaopeng Wang, Cong Han, Gan Gao, Qian-Nan Wang, Jingjie Li, Lian Duan, Xiangyang Bao",PubMed,2025-04-29,,"Moyamoya disease (MMD) is a rare cerebrovascular disease in humans. Although early revascularization can improve symptoms, it cannot reverse the progression of the disease. The current diagnosis still relies on traditional a Digital Subtraction Angiography (DSA) examination, which is invasive and expensive, leading to delayed diagnosis and affecting treatment timing and patient prognosis. The ability to diagnose MMD early and develop personalized treatment plans can significantly improve the prognosis of patients. Here, we have introduced the research on MMD biomarkers. By integrating proteomics and metabolomics data, we have successfully identified over 1700 features from more than 60 serum samples collected at the onset of symptoms in MMD patients. We use multiple computational strategies to interpret complex information in serum, providing a comprehensive perspective for early diagnosis of MMD. Diagnostic ability of our biomarker is significantly better than previous studies, especially when used in combination. In the study of molecular mechanisms, we found that the ferroptosis pathway was significant disruption in MMD patients, which was also confirmed by transcriptomics data. Finally, we validated the metabolites and proteins associated with ferroptosis pathways, as well as the biomarkers screened by machine learning, using another independent MMD cohort. Our research provides important clues for the diagnosis of MMD, and this assay can identify MMD early, thereby promoting stronger monitoring and intervention.",https://pubmed.ncbi.nlm.nih.gov/40301939/,"machine learning, bioinformatics, genomics"
2025-05-01 16:20,The application of Large Language Models to the phenotype-based prioritization of causative genes in rare disease patients.,"Şenay Kafkas, Marwa Abdelhakim, Azza Althagafi, Sumyyah Toonsi, Malak Alghamdi, Paul N Schofield, Robert Hoehndorf",PubMed,2025-04-29,,"Computational methods for identifying gene-disease associations can use both genomic and phenotypic information to prioritize genes and variants that may be associated with genetic diseases. Phenotype-based methods commonly rely on comparing phenotypes observed in a patient with databases of genotype-to-phenotype associations using measures of semantic similarity. They are constrained by the quality and completeness of these resources as well as the quality and completeness of patient phenotype annotation. Genotype-to-phenotype associations used by these methods are largely derived from the literature and coded using phenotype ontologies. Large Language Models (LLMs) have been trained on large amounts of text and data and have shown their potential to answer complex questions across multiple domains. Here, we evaluate the effectiveness of LLMs in prioritizing disease-associated genes compared to existing bioinformatics methods. We show that LLMs can prioritize disease-associated genes as well, or better than, dedicated bioinformatics methods relying on pre-defined phenotype similarity, when gene sets range from 5 to 100 candidates. We apply our approach to a cohort of undiagnosed patients with rare diseases and show that LLMs can be used to provide diagnostic support that helps in identifying plausible candidate genes. Our results show that LLMs may offer an alternative to traditional bioinformatics methods to prioritize disease-associated genes based on disease phenotypes. They may, therefore, potentially enhance diagnostic accuracy and simplify the process for rare genetic diseases.",https://pubmed.ncbi.nlm.nih.gov/40301638/,"machine learning, bioinformatics, genomics"
2025-05-01 16:20,Machine learning: Python tools for studying biomolecules and drug design.,"Fedor V Ryzhkov, Yuliya E Ryzhkova, Michail N Elinson",PubMed,2025-04-29,,"The increasing adoption of computational methods and artificial intelligence in scientific research has led to a growing interest in versatile tools like Python. In the fields of medical chemistry, biochemistry, and bioinformatics, Python has emerged as a key language for tackling complex challenges. It is used to solve various tasks, such as drug discovery, high-throughput and virtual screening, protein and genome analysis, and predicting drug efficacy. This review presents a list of tools for these tasks, including scripts, libraries, and ready-made programs, and serves as a starting point for scientists wishing to apply automation or optimization to routine tasks in medical chemistry and bioinformatics.",https://pubmed.ncbi.nlm.nih.gov/40301135/,"machine learning, bioinformatics, genomics"
2025-05-01 16:20,UNISOM: Unified Somatic Calling and Machine Learning-based Classification Enhance the Discovery of CHIP.,"Shulan Tian, Garrett Jenkinson, Alejandro Ferrer, Huihuang Yan, Joel A Morales-Rosado, Kevin L Wang, Terra L Lasho, Benjamin B Yan, Saurabh Baheti, Janet E Olson, Linda B Baughn, Wei Ding, Susan L Slager, Mrinal S Patnaik, Konstantinos N Lazaridis, Eric W Klee",PubMed,2025-04-29,,"Clonal hematopoiesis (CH) of indeterminate potential (CHIP), driven by somatic mutations in leukemia-associated genes, confers increased risk of hematologic malignancies, cardiovascular disease, and all-cause mortality. In blood of healthy individuals, small CH clones can expand over time to reach 2% variant allele frequency (VAF), the current threshold for CHIP. Nevertheless, reliable detection of low-VAF CHIP mutations is challenging, often relying on deep targeted sequencing. Here, we present UNISOM, a streamlined workflow for enhancing CHIP detection from whole-genome and whole-exome sequencing data that are underpowered, especially for low VAFs. UNISOM utilizes a meta-caller for variant detection, in couple with machine learning models which classify variants into CHIP, germline, and artifact. In whole-exome data, UNISOM recovered nearly 80% of the CHIP mutations identified via deep targeted sequencing in the same cohort. Applied to whole-genome sequencing data from Mayo Clinic Biobank, it recapitulated the patterns previously established in much larger cohorts, including the most frequently mutated CHIP genes, predominant mutation types and signatures, as well as strong associations of CHIP with age and smoking status. Notably, 30% of the identified CHIP mutations had < 5% VAFs, demonstrating its high sensitivity toward small mutant clones. This workflow is applicable to CHIP screening in population genomic studies. The UNISOM pipeline is freely available at https://github.com/shulanmayo/UNISOM and https://ngdc.cncb.ac.cn/biocode/tool/7816.",https://pubmed.ncbi.nlm.nih.gov/40300108/,"machine learning, bioinformatics, genomics"
2025-05-01 16:20,Effectidor II: A pan-genomic AI-based algorithm for the prediction of type III secretion system effectors.,"Naama Wagner, Ella Baumer, Iris Lyubman, Yair Shimony, Noam Bracha, Leonor Martins, Neha Potnis, Jeff H Chang, Doron Teper, Ralf Koebnik, Tal Pupko",PubMed,2025-04-29,,"Type III secretion systems are used by many Gram-negative bacteria to inject type 3 effectors (T3Es) directly into eukaryotic cells, promoting disease or provoking immune response. Because of these opposing evolutionary forces, T3E repertoires often vary within taxonomic groups. Identifying the full effector gene repertoire in genomes of related individuals is crucial for determining core and specialized effectors, understanding the disease dynamics, and developing appropriate management strategies against pathogens. It can also help uncover novel T3Es that have recently emerged in a population. Our previously published Effectidor web server successfully addressed the challenge of identifying T3Es in a single bacterial genome. Here, we enriched the web server with various novel capabilities, including the identification of T3Es from multiple genome sequences simultaneously.",https://pubmed.ncbi.nlm.nih.gov/40300094/,"machine learning, bioinformatics, genomics"
2025-05-01 16:20,Natural language processing in drug discovery: bridging the gap between text and therapeutics with artificial intelligence.,"Christine Ann Withers, Amina Mardiyyah Rufai, Aravind Venkatesan, Santosh Tirunagari, Sebastian Lobentanzer, Melissa Harrison, Barbara Zdrazil",PubMed,2025-04-30,,The field of Natural Language Processing (NLP) within the life sciences has exploded in its capacity to aid the extraction and analysis of data from scientific texts in recent years through the advancement of Artificial Intelligence (AI). Drug discovery pipelines have been innovated and accelerated by the uptake of AI/Machine Learning (ML) techniques.,https://pubmed.ncbi.nlm.nih.gov/40298230/,"machine learning, bioinformatics, genomics"
2025-05-01 16:20,Light Bladder Net: Non-invasive Bladder Cancer Prediction by Weighted Deep Learning Approaches and Graphical Data Transformation.,"Chi-Hua Tung, Shih-Huan Lin, Kai-Po Chang, Ya-Wen Xu, Min-Ling Chuang, Yen-Wei Chu",PubMed,2025-04-28,,"Bladder cancer (BCa) is associated with high recurrence rates, emphasizing the importance of early and accurate detection. This study aimed to develop a lightweight and fast deep learning model, Light-Bladder-Net (LBN), for non-invasive BCa detection using conventional urine data.",https://pubmed.ncbi.nlm.nih.gov/40295062/,"machine learning, bioinformatics, genomics"
2025-05-01 16:20,Applications and Considerations of Artificial Intelligence in Veterinary Sciences: A Narrative Review.,"Akbarein H, Taaghi MH, Mohebbi M, Soufizadeh P.",MED,2025-05-01,,"In recent years, artificial intelligence (AI) has brought about a significant transformation in healthcare, streamlining manual tasks and allowing professionals to focus on critical responsibilities while AI handles complex procedures. This shift is not limited to human healthcare; it extends to veterinary medicine as well, where AI's predictive analytics and diagnostic abilities are improving standards of animal care. Consequently, healthcare systems stand to gain notable advantages, such as enhanced accessibility, treatment efficacy, and optimized resource allocation, owing to the seamless integration of AI. This article presents a comprehensive review of the manifold applications of AI within the domain of veterinary science, categorizing them into four domains: clinical practice, biomedical research, public health, and administration. It also examines the primary machine learning algorithms used in relevant studies, highlighting emerging trends in the field. The research serves as a valuable resource for scholars, offering insights into current trends and serving as a starting point for those new to the field.",https://pubmed.ncbi.nlm.nih.gov/40173266/,"machine learning, bioinformatics, genomics"
